customer_id,last_purchase,frequency,monetary,recency_days,segment_name
C00625,2025-04-27,1.0,208.49,248.0,One-off Lapsed
C00626,,,,,Prospect (no purchase)
C00627,,,,,Prospect (no purchase)
C00628,,,,,Prospect (no purchase)
C00629,,,,,Prospect (no purchase)
C00630,,,,,Prospect (no purchase)
C00631,,,,,Prospect (no purchase)
C00632,,,,,Prospect (no purchase)
C00633,2024-10-27,1.0,131.53,430.0,One-off Lapsed
C00634,,,,,Prospect (no purchase)
C00635,,,,,Prospect (no purchase)
C00636,,,,,Prospect (no purchase)
C00637,2025-04-07,1.0,167.73,268.0,One-off Lapsed
C00638,,,,,Prospect (no purchase)
C00639,,,,,Prospect (no purchase)
C00640,2024-07-03,1.0,237.37,546.0,One-off Lapsed
C00641,,,,,Prospect (no purchase)
C00642,,,,,Prospect (no purchase)
C00643,,,,,Prospect (no purchase)
C00644,,,,,Prospect (no purchase)
C00645,,,,,Prospect (no purchase)
C00646,,,,,Prospect (no purchase)
C00647,,,,,Prospect (no purchase)
C00648,,,,,Prospect (no purchase)
C00649,,,,,Prospect (no purchase)
C00650,2024-12-06,1.0,173.72,390.0,One-off Lapsed
C00651,,,,,Prospect (no purchase)
C00652,,,,,Prospect (no purchase)
C00653,,,,,Prospect (no purchase)
C00654,,,,,Prospect (no purchase)
C00655,,,,,Prospect (no purchase)
C00656,,,,,Prospect (no purchase)
C00657,,,,,Prospect (no purchase)
C00658,2024-09-28,1.0,132.22,459.0,One-off Lapsed
C00659,,,,,Prospect (no purchase)
C00660,,,,,Prospect (no purchase)
C00661,,,,,Prospect (no purchase)
C00662,2024-06-13,1.0,142.77,566.0,One-off Lapsed
C00663,2025-11-21,1.0,230.12,40.0,One-off Lapsed
C00664,2024-03-29,1.0,220.46,642.0,One-off Lapsed
C00665,,,,,Prospect (no purchase)
C00666,,,,,Prospect (no purchase)
C00667,,,,,Prospect (no purchase)
C00668,,,,,Prospect (no purchase)
C00669,,,,,Prospect (no purchase)
C00670,,,,,Prospect (no purchase)
C00671,,,,,Prospect (no purchase)
C00672,2024-02-16,1.0,183.37,684.0,One-off Lapsed
C00673,2025-02-27,1.0,243.49,307.0,One-off Lapsed
C00674,2025-03-01,1.0,97.9,305.0,One-off Lapsed
C00675,,,,,Prospect (no purchase)
C00676,,,,,Prospect (no purchase)
C00677,2024-05-19,1.0,311.89,591.0,One-off Lapsed
C00678,2025-09-14,2.0,583.7,108.0,Occasional Repeat
C00679,,,,,Prospect (no purchase)
C00680,,,,,Prospect (no purchase)
C00681,,,,,Prospect (no purchase)
C00682,,,,,Prospect (no purchase)
C00683,,,,,Prospect (no purchase)
C00684,,,,,Prospect (no purchase)
C00685,2024-05-11,1.0,150.19,599.0,One-off Lapsed
C00686,,,,,Prospect (no purchase)
C00687,2025-12-27,1.0,139.11,4.0,Recent Buyers
C00688,,,,,Prospect (no purchase)
C00689,,,,,Prospect (no purchase)
C00690,,,,,Prospect (no purchase)
C00691,,,,,Prospect (no purchase)
C00692,,,,,Prospect (no purchase)
C00693,2024-05-29,1.0,225.03,581.0,One-off Lapsed
C00694,,,,,Prospect (no purchase)
C00695,2025-09-16,1.0,222.33,106.0,One-off Lapsed
C00696,,,,,Prospect (no purchase)
C00697,,,,,Prospect (no purchase)
C00698,2025-12-26,1.0,236.33,5.0,Recent Buyers
C00699,,,,,Prospect (no purchase)
C00700,2025-05-08,2.0,470.4,237.0,Occasional Repeat
C00701,,,,,Prospect (no purchase)
C00702,2025-11-16,2.0,1007.16,45.0,Occasional Repeat
C00703,,,,,Prospect (no purchase)
C00704,2025-11-12,1.0,407.88,49.0,One-off Lapsed
C00705,,,,,Prospect (no purchase)
C00706,,,,,Prospect (no purchase)
C00707,,,,,Prospect (no purchase)
C00708,,,,,Prospect (no purchase)
C00709,,,,,Prospect (no purchase)
C00710,2025-01-19,1.0,258.11,346.0,One-off Lapsed
C00711,2025-04-29,3.0,544.1600000000001,246.0,Champions
C00712,,,,,Prospect (no purchase)
C00713,2025-02-24,1.0,275.33,310.0,One-off Lapsed
C00714,,,,,Prospect (no purchase)
C00715,,,,,Prospect (no purchase)
C00716,,,,,Prospect (no purchase)
C00717,,,,,Prospect (no purchase)
C00718,,,,,Prospect (no purchase)
C00719,,,,,Prospect (no purchase)
C00720,,,,,Prospect (no purchase)
C00721,2025-04-28,1.0,88.85,247.0,One-off Lapsed
C00722,2025-04-13,2.0,504.61,262.0,Occasional Repeat
C00723,2025-12-08,1.0,155.77,23.0,One-off Lapsed
C00724,,,,,Prospect (no purchase)
C00725,,,,,Prospect (no purchase)
C00726,2025-05-12,1.0,302.64,233.0,One-off Lapsed
C00727,,,,,Prospect (no purchase)
C00728,,,,,Prospect (no purchase)
C00729,,,,,Prospect (no purchase)
C00730,,,,,Prospect (no purchase)
C00731,2025-11-03,2.0,379.12,58.0,Occasional Repeat
C00732,,,,,Prospect (no purchase)
C00733,2025-12-31,3.0,605.74,0.0,Recent Buyers
C00734,,,,,Prospect (no purchase)
C00735,,,,,Prospect (no purchase)
C00736,,,,,Prospect (no purchase)
C00737,,,,,Prospect (no purchase)
C00738,,,,,Prospect (no purchase)
C00739,,,,,Prospect (no purchase)
C00740,,,,,Prospect (no purchase)
C00741,2025-02-04,1.0,460.42,330.0,One-off Lapsed
C00742,,,,,Prospect (no purchase)
C00743,,,,,Prospect (no purchase)
C00744,,,,,Prospect (no purchase)
C00745,,,,,Prospect (no purchase)
C00746,,,,,Prospect (no purchase)
C00747,,,,,Prospect (no purchase)
C00748,,,,,Prospect (no purchase)
C00749,,,,,Prospect (no purchase)
C00750,,,,,Prospect (no purchase)
C00751,2025-01-24,2.0,508.1,341.0,Occasional Repeat
C00752,,,,,Prospect (no purchase)
C00753,,,,,Prospect (no purchase)
C00754,2025-01-24,3.0,1051.12,341.0,Champions
C00755,2024-10-14,2.0,417.33,443.0,Occasional Repeat
C00756,,,,,Prospect (no purchase)
C00757,2024-04-23,3.0,897.1700000000001,617.0,Champions
C00758,,,,,Prospect (no purchase)
C00759,,,,,Prospect (no purchase)
C00760,,,,,Prospect (no purchase)
C00761,,,,,Prospect (no purchase)
C00762,,,,,Prospect (no purchase)
C00763,,,,,Prospect (no purchase)
C00764,2025-11-18,3.0,904.14,43.0,Champions
C00765,2024-01-24,1.0,155.02,707.0,One-off Lapsed
C00766,2024-04-24,1.0,280.75,616.0,One-off Lapsed
C00767,,,,,Prospect (no purchase)
C00768,2025-10-29,1.0,97.23,63.0,One-off Lapsed
C00769,,,,,Prospect (no purchase)
C00770,2024-06-28,1.0,210.3,551.0,One-off Lapsed
C00771,2024-05-21,1.0,308.88,589.0,One-off Lapsed
C00772,,,,,Prospect (no purchase)
C00773,2024-11-22,2.0,396.36,404.0,Occasional Repeat
C00774,,,,,Prospect (no purchase)
C00775,2025-02-04,1.0,169.16,330.0,One-off Lapsed
C00776,,,,,Prospect (no purchase)
C00777,,,,,Prospect (no purchase)
C00778,,,,,Prospect (no purchase)
C00779,,,,,Prospect (no purchase)
C00780,2025-05-14,2.0,422.07,231.0,Occasional Repeat
C00781,,,,,Prospect (no purchase)
C00782,,,,,Prospect (no purchase)
C00783,,,,,Prospect (no purchase)
C00784,,,,,Prospect (no purchase)
C00785,,,,,Prospect (no purchase)
C00786,2024-09-20,2.0,885.05,467.0,Occasional Repeat
C00787,,,,,Prospect (no purchase)
C00788,,,,,Prospect (no purchase)
C00789,,,,,Prospect (no purchase)
C00790,,,,,Prospect (no purchase)
C00791,2025-04-26,2.0,573.62,249.0,Occasional Repeat
C00792,,,,,Prospect (no purchase)
C00793,2025-11-02,1.0,242.26,59.0,One-off Lapsed
C00794,2024-10-02,2.0,558.8399999999999,455.0,Occasional Repeat
C00795,2025-07-07,1.0,130.73,177.0,One-off Lapsed
C00796,,,,,Prospect (no purchase)
C00797,,,,,Prospect (no purchase)
C00798,,,,,Prospect (no purchase)
C00799,,,,,Prospect (no purchase)
C00800,,,,,Prospect (no purchase)
C00801,,,,,Prospect (no purchase)
C00802,,,,,Prospect (no purchase)
C00803,2024-09-27,1.0,191.06,460.0,One-off Lapsed
C00804,2025-09-14,2.0,520.29,108.0,Occasional Repeat
C00805,,,,,Prospect (no purchase)
C00806,,,,,Prospect (no purchase)
C00807,,,,,Prospect (no purchase)
C00808,,,,,Prospect (no purchase)
C00809,2025-01-20,1.0,120.04,345.0,One-off Lapsed
C00810,2025-09-20,1.0,166.63,102.0,One-off Lapsed
C00811,2025-04-09,1.0,104.16,266.0,One-off Lapsed
C00812,,,,,Prospect (no purchase)
C00813,,,,,Prospect (no purchase)
C00814,,,,,Prospect (no purchase)
C00815,2025-11-02,1.0,148.03,59.0,One-off Lapsed
C00816,,,,,Prospect (no purchase)
C00817,,,,,Prospect (no purchase)
C00818,,,,,Prospect (no purchase)
C00819,2025-02-14,3.0,984.3299999999999,320.0,Champions
C00820,,,,,Prospect (no purchase)
C00821,2024-11-26,1.0,155.97,400.0,One-off Lapsed
C00822,,,,,Prospect (no purchase)
C00823,2025-02-17,1.0,216.85,317.0,One-off Lapsed
C00824,,,,,Prospect (no purchase)
C00825,,,,,Prospect (no purchase)
C00826,,,,,Prospect (no purchase)
C00827,2025-09-22,1.0,335.04,100.0,One-off Lapsed
C00828,,,,,Prospect (no purchase)
C00829,,,,,Prospect (no purchase)
C00830,,,,,Prospect (no purchase)
C00831,,,,,Prospect (no purchase)
C00832,2024-04-21,1.0,180.29,619.0,One-off Lapsed
C00833,2024-11-18,1.0,256.17,408.0,One-off Lapsed
C00834,2025-09-15,1.0,232.01,107.0,One-off Lapsed
C00835,,,,,Prospect (no purchase)
C00836,,,,,Prospect (no purchase)
C00837,,,,,Prospect (no purchase)
C00838,,,,,Prospect (no purchase)
C00839,,,,,Prospect (no purchase)
C00840,,,,,Prospect (no purchase)
C00841,2025-03-24,1.0,281.84,282.0,One-off Lapsed
C00842,,,,,Prospect (no purchase)
C00843,,,,,Prospect (no purchase)
C00844,,,,,Prospect (no purchase)
C00845,2024-07-13,1.0,211.27,536.0,One-off Lapsed
C00846,,,,,Prospect (no purchase)
C00847,,,,,Prospect (no purchase)
C00848,2025-12-31,1.0,247.97,0.0,Recent Buyers
C00849,2024-10-23,1.0,221.36,434.0,One-off Lapsed
C00850,,,,,Prospect (no purchase)
C00851,2025-01-22,1.0,197.99,343.0,One-off Lapsed
C00852,,,,,Prospect (no purchase)
C00853,,,,,Prospect (no purchase)
C00854,,,,,Prospect (no purchase)
C00855,2024-07-15,1.0,139.33,534.0,One-off Lapsed
C00856,,,,,Prospect (no purchase)
C00857,,,,,Prospect (no purchase)
C00858,,,,,Prospect (no purchase)
C00859,,,,,Prospect (no purchase)
C00860,,,,,Prospect (no purchase)
C00861,,,,,Prospect (no purchase)
C00862,,,,,Prospect (no purchase)
C00863,2024-03-11,1.0,396.95,660.0,One-off Lapsed
C00864,,,,,Prospect (no purchase)
C00865,2025-03-06,2.0,638.23,300.0,Occasional Repeat
C00866,,,,,Prospect (no purchase)
C00867,,,,,Prospect (no purchase)
C00868,2024-07-03,1.0,158.35,546.0,One-off Lapsed
C00869,2024-02-23,1.0,194.49,677.0,One-off Lapsed
C00870,,,,,Prospect (no purchase)
C00871,2025-07-16,1.0,260.68,168.0,One-off Lapsed
C00872,,,,,Prospect (no purchase)
C00873,,,,,Prospect (no purchase)
C00874,,,,,Prospect (no purchase)
C00875,,,,,Prospect (no purchase)
C00876,,,,,Prospect (no purchase)
C00877,2024-12-25,1.0,134.54,371.0,One-off Lapsed
C00878,,,,,Prospect (no purchase)
C00879,,,,,Prospect (no purchase)
C00880,,,,,Prospect (no purchase)
C00881,2025-05-04,1.0,177.57,241.0,One-off Lapsed
C00882,,,,,Prospect (no purchase)
C00883,,,,,Prospect (no purchase)
C00884,,,,,Prospect (no purchase)
C00885,2024-11-19,2.0,560.89,407.0,Occasional Repeat
C00886,,,,,Prospect (no purchase)
C00887,2024-09-20,1.0,137.75,467.0,One-off Lapsed
C00888,2025-05-11,2.0,405.75,234.0,Occasional Repeat
C00889,,,,,Prospect (no purchase)
C00890,2024-10-09,1.0,282.64,448.0,One-off Lapsed
C00891,,,,,Prospect (no purchase)
C00892,,,,,Prospect (no purchase)
C00893,,,,,Prospect (no purchase)
C00894,,,,,Prospect (no purchase)
C00895,,,,,Prospect (no purchase)
C00896,,,,,Prospect (no purchase)
C00897,2025-01-30,1.0,174.92,335.0,One-off Lapsed
C00898,2024-12-17,1.0,176.1,379.0,One-off Lapsed
C00899,,,,,Prospect (no purchase)
C00900,,,,,Prospect (no purchase)
C00901,,,,,Prospect (no purchase)
C00902,2024-05-22,1.0,143.63,588.0,One-off Lapsed
C00903,,,,,Prospect (no purchase)
C00904,,,,,Prospect (no purchase)
C00905,,,,,Prospect (no purchase)
C00906,,,,,Prospect (no purchase)
C00907,,,,,Prospect (no purchase)
C00908,,,,,Prospect (no purchase)
C00909,,,,,Prospect (no purchase)
C00910,,,,,Prospect (no purchase)
C00911,,,,,Prospect (no purchase)
C00912,,,,,Prospect (no purchase)
C00913,,,,,Prospect (no purchase)
C00914,,,,,Prospect (no purchase)
C00915,,,,,Prospect (no purchase)
C00916,2024-10-10,3.0,1244.37,447.0,Champions
C00917,,,,,Prospect (no purchase)
C00918,2025-04-26,2.0,260.12,249.0,Occasional Repeat
C00919,,,,,Prospect (no purchase)
C00920,,,,,Prospect (no purchase)
C00921,,,,,Prospect (no purchase)
C00922,,,,,Prospect (no purchase)
C00923,2024-07-01,1.0,410.05,548.0,One-off Lapsed
C00924,,,,,Prospect (no purchase)
C00925,,,,,Prospect (no purchase)
C00926,,,,,Prospect (no purchase)
C00927,,,,,Prospect (no purchase)
C00928,,,,,Prospect (no purchase)
C00929,,,,,Prospect (no purchase)
C00930,,,,,Prospect (no purchase)
C00931,,,,,Prospect (no purchase)
C00932,,,,,Prospect (no purchase)
C00933,,,,,Prospect (no purchase)
C00934,,,,,Prospect (no purchase)
C00935,,,,,Prospect (no purchase)
C00936,,,,,Prospect (no purchase)
C00937,2024-04-06,2.0,501.79,634.0,Occasional Repeat
C00938,,,,,Prospect (no purchase)
C00939,,,,,Prospect (no purchase)
C00940,,,,,Prospect (no purchase)
C00941,,,,,Prospect (no purchase)
C00942,,,,,Prospect (no purchase)
C00943,2024-10-30,1.0,222.76,427.0,One-off Lapsed
C00944,,,,,Prospect (no purchase)
C00945,,,,,Prospect (no purchase)
C00946,,,,,Prospect (no purchase)
C00947,,,,,Prospect (no purchase)
C00948,,,,,Prospect (no purchase)
C00949,,,,,Prospect (no purchase)
C00950,,,,,Prospect (no purchase)
C00951,,,,,Prospect (no purchase)
C00952,,,,,Prospect (no purchase)
C00953,,,,,Prospect (no purchase)
C00954,,,,,Prospect (no purchase)
C00955,2025-02-04,1.0,181.79,330.0,One-off Lapsed
C00956,,,,,Prospect (no purchase)
C00957,,,,,Prospect (no purchase)
C00958,,,,,Prospect (no purchase)
C00959,,,,,Prospect (no purchase)
C00960,,,,,Prospect (no purchase)
C00961,2024-12-23,1.0,318.26,373.0,One-off Lapsed
C00962,2024-10-29,1.0,96.55,428.0,One-off Lapsed
C00963,2024-06-30,3.0,1100.6399999999999,549.0,Champions
C00964,2025-04-27,1.0,324.01,248.0,One-off Lapsed
C00965,,,,,Prospect (no purchase)
C00966,2025-11-15,1.0,283.21,46.0,One-off Lapsed
C00967,,,,,Prospect (no purchase)
C00968,,,,,Prospect (no purchase)
C00969,,,,,Prospect (no purchase)
C00970,2025-02-17,1.0,253.01,317.0,One-off Lapsed
C00971,,,,,Prospect (no purchase)
C00972,,,,,Prospect (no purchase)
C00973,2025-06-01,1.0,185.82,213.0,One-off Lapsed
C00974,2024-02-03,1.0,165.09,697.0,One-off Lapsed
C00975,2025-11-22,1.0,187.05,39.0,One-off Lapsed
C00976,2024-12-08,2.0,533.63,388.0,Occasional Repeat
C00977,,,,,Prospect (no purchase)
C00978,,,,,Prospect (no purchase)
C00979,,,,,Prospect (no purchase)
C00980,,,,,Prospect (no purchase)
C00981,,,,,Prospect (no purchase)
C00982,,,,,Prospect (no purchase)
C00983,2025-11-14,1.0,148.15,47.0,One-off Lapsed
C00984,2024-12-01,1.0,115.98,395.0,One-off Lapsed
C00985,,,,,Prospect (no purchase)
C00986,,,,,Prospect (no purchase)
C00987,,,,,Prospect (no purchase)
C00988,,,,,Prospect (no purchase)
C00989,,,,,Prospect (no purchase)
C00990,,,,,Prospect (no purchase)
C00991,,,,,Prospect (no purchase)
C00992,2025-10-04,1.0,239.03,88.0,One-off Lapsed
C00993,,,,,Prospect (no purchase)
C00994,,,,,Prospect (no purchase)
C00995,,,,,Prospect (no purchase)
C00996,,,,,Prospect (no purchase)
C00997,,,,,Prospect (no purchase)
C00998,2025-03-23,2.0,396.0,283.0,Occasional Repeat
C00999,,,,,Prospect (no purchase)
C01000,,,,,Prospect (no purchase)
C01001,,,,,Prospect (no purchase)
C01002,,,,,Prospect (no purchase)
C01003,,,,,Prospect (no purchase)
C01004,,,,,Prospect (no purchase)
C01005,,,,,Prospect (no purchase)
C01006,2025-12-29,5.0,1303.25,2.0,Champions
C01007,,,,,Prospect (no purchase)
C01008,,,,,Prospect (no purchase)
C01009,,,,,Prospect (no purchase)
C01010,,,,,Prospect (no purchase)
C01011,,,,,Prospect (no purchase)
C01012,2024-09-30,1.0,195.44,457.0,One-off Lapsed
C01013,2025-08-25,2.0,406.97,128.0,Occasional Repeat
C01014,,,,,Prospect (no purchase)
C01015,2024-07-13,1.0,414.59,536.0,One-off Lapsed
C01016,,,,,Prospect (no purchase)
C01017,,,,,Prospect (no purchase)
C01018,2024-07-09,1.0,507.52,540.0,One-off Lapsed
C01019,2025-01-15,1.0,235.6,350.0,One-off Lapsed
C01020,,,,,Prospect (no purchase)
C01021,,,,,Prospect (no purchase)
C01022,,,,,Prospect (no purchase)
C01023,,,,,Prospect (no purchase)
C01024,2025-01-09,3.0,668.62,356.0,Champions
C01025,2024-06-26,1.0,217.12,553.0,One-off Lapsed
C01026,,,,,Prospect (no purchase)
C01027,,,,,Prospect (no purchase)
C01028,2024-12-27,1.0,223.84,369.0,One-off Lapsed
C01029,,,,,Prospect (no purchase)
C01030,,,,,Prospect (no purchase)
C01031,2024-02-29,2.0,346.59,671.0,Occasional Repeat
C01032,,,,,Prospect (no purchase)
C01033,,,,,Prospect (no purchase)
C01034,,,,,Prospect (no purchase)
C01035,,,,,Prospect (no purchase)
C01036,2024-12-31,1.0,280.66,365.0,One-off Lapsed
C01037,,,,,Prospect (no purchase)
C01038,2024-10-23,1.0,280.11,434.0,One-off Lapsed
C01039,,,,,Prospect (no purchase)
C01040,,,,,Prospect (no purchase)
C01041,,,,,Prospect (no purchase)
C01042,,,,,Prospect (no purchase)
C01043,,,,,Prospect (no purchase)
C01044,,,,,Prospect (no purchase)
C01045,,,,,Prospect (no purchase)
C01046,,,,,Prospect (no purchase)
C01047,2024-08-28,1.0,147.55,490.0,One-off Lapsed
C01048,,,,,Prospect (no purchase)
C01049,,,,,Prospect (no purchase)
C01050,,,,,Prospect (no purchase)
C01051,,,,,Prospect (no purchase)
C01052,,,,,Prospect (no purchase)
C01053,,,,,Prospect (no purchase)
C01054,,,,,Prospect (no purchase)
C01055,,,,,Prospect (no purchase)
C01056,,,,,Prospect (no purchase)
C01057,,,,,Prospect (no purchase)
C01058,2024-11-16,1.0,153.5,410.0,One-off Lapsed
C01059,2024-04-23,1.0,232.61,617.0,One-off Lapsed
C01060,,,,,Prospect (no purchase)
C01061,,,,,Prospect (no purchase)
C01062,,,,,Prospect (no purchase)
C01063,,,,,Prospect (no purchase)
C01064,,,,,Prospect (no purchase)
C01065,,,,,Prospect (no purchase)
C01066,,,,,Prospect (no purchase)
C01067,,,,,Prospect (no purchase)
C01068,,,,,Prospect (no purchase)
C01069,,,,,Prospect (no purchase)
C01070,,,,,Prospect (no purchase)
C01071,,,,,Prospect (no purchase)
C01072,2024-11-22,2.0,460.08,404.0,Occasional Repeat
C01073,2025-05-27,1.0,234.36,218.0,One-off Lapsed
C01074,2025-02-15,1.0,293.28,319.0,One-off Lapsed
C01075,,,,,Prospect (no purchase)
C01076,,,,,Prospect (no purchase)
C01077,,,,,Prospect (no purchase)
C01078,,,,,Prospect (no purchase)
C01079,,,,,Prospect (no purchase)
C01080,,,,,Prospect (no purchase)
C01081,,,,,Prospect (no purchase)
C01082,,,,,Prospect (no purchase)
C01083,,,,,Prospect (no purchase)
C01084,,,,,Prospect (no purchase)
C01085,,,,,Prospect (no purchase)
C01086,2024-04-13,1.0,192.89,627.0,One-off Lapsed
C01087,2024-08-18,1.0,241.29,500.0,One-off Lapsed
C01088,,,,,Prospect (no purchase)
C01089,,,,,Prospect (no purchase)
C01090,,,,,Prospect (no purchase)
C01091,2024-11-05,1.0,282.23,421.0,One-off Lapsed
C01092,,,,,Prospect (no purchase)
C01093,,,,,Prospect (no purchase)
C01094,,,,,Prospect (no purchase)
C01095,2024-01-11,1.0,90.37,720.0,One-off Lapsed
C01096,,,,,Prospect (no purchase)
C01097,2025-06-15,1.0,228.43,199.0,One-off Lapsed
C01098,,,,,Prospect (no purchase)
C01099,2025-11-05,3.0,699.92,56.0,Champions
C01100,,,,,Prospect (no purchase)
C01101,,,,,Prospect (no purchase)
C01102,,,,,Prospect (no purchase)
C01103,,,,,Prospect (no purchase)
C01104,,,,,Prospect (no purchase)
C01105,,,,,Prospect (no purchase)
C01106,,,,,Prospect (no purchase)
C01107,2024-07-13,1.0,123.43,536.0,One-off Lapsed
C01108,2025-09-25,1.0,158.27,97.0,One-off Lapsed
C01109,,,,,Prospect (no purchase)
C01110,,,,,Prospect (no purchase)
C01111,,,,,Prospect (no purchase)
C01112,,,,,Prospect (no purchase)
C01113,,,,,Prospect (no purchase)
C01114,,,,,Prospect (no purchase)
C01115,,,,,Prospect (no purchase)
C01116,,,,,Prospect (no purchase)
C01117,,,,,Prospect (no purchase)
C01118,2025-10-01,1.0,275.41,91.0,One-off Lapsed
C01119,,,,,Prospect (no purchase)
C01120,,,,,Prospect (no purchase)
C01121,,,,,Prospect (no purchase)
C01122,2025-05-12,1.0,127.37,233.0,One-off Lapsed
C01123,2025-05-02,1.0,433.94,243.0,One-off Lapsed
C01124,,,,,Prospect (no purchase)
C01125,2025-06-01,1.0,186.09,213.0,One-off Lapsed
C01126,,,,,Prospect (no purchase)
C01127,,,,,Prospect (no purchase)
C01128,,,,,Prospect (no purchase)
C01129,,,,,Prospect (no purchase)
C01130,,,,,Prospect (no purchase)
C01131,,,,,Prospect (no purchase)
C01132,,,,,Prospect (no purchase)
C01133,,,,,Prospect (no purchase)
C01134,2024-05-17,1.0,261.11,593.0,One-off Lapsed
C01135,,,,,Prospect (no purchase)
C01136,2024-03-20,1.0,323.22,651.0,One-off Lapsed
C01137,,,,,Prospect (no purchase)
C01138,,,,,Prospect (no purchase)
C01139,,,,,Prospect (no purchase)
C01140,,,,,Prospect (no purchase)
C01141,,,,,Prospect (no purchase)
C01142,,,,,Prospect (no purchase)
C01143,,,,,Prospect (no purchase)
C01144,,,,,Prospect (no purchase)
C01145,2024-08-06,2.0,699.81,512.0,Occasional Repeat
C01146,,,,,Prospect (no purchase)
C01147,,,,,Prospect (no purchase)
C01148,,,,,Prospect (no purchase)
C01149,,,,,Prospect (no purchase)
C01150,,,,,Prospect (no purchase)
C01151,2025-12-07,1.0,125.61,24.0,One-off Lapsed
C01152,2025-12-31,4.0,1954.52,0.0,Champions
C01153,,,,,Prospect (no purchase)
C01154,,,,,Prospect (no purchase)
C01155,,,,,Prospect (no purchase)
C01156,,,,,Prospect (no purchase)
C01157,,,,,Prospect (no purchase)
C01158,,,,,Prospect (no purchase)
C01159,,,,,Prospect (no purchase)
C01160,2024-09-21,2.0,261.22,466.0,Occasional Repeat
C01161,2025-07-14,1.0,256.21,170.0,One-off Lapsed
C01162,,,,,Prospect (no purchase)
C01163,2025-03-04,1.0,201.96,302.0,One-off Lapsed
C01164,,,,,Prospect (no purchase)
C01165,,,,,Prospect (no purchase)
C01166,,,,,Prospect (no purchase)
C01167,,,,,Prospect (no purchase)
C01168,,,,,Prospect (no purchase)
C01169,,,,,Prospect (no purchase)
C01170,2024-02-27,1.0,653.2,673.0,Occasional Repeat
C01171,,,,,Prospect (no purchase)
C01172,,,,,Prospect (no purchase)
C01173,,,,,Prospect (no purchase)
C01174,,,,,Prospect (no purchase)
C01175,,,,,Prospect (no purchase)
C01176,,,,,Prospect (no purchase)
C01177,,,,,Prospect (no purchase)
C01178,,,,,Prospect (no purchase)
C01179,2025-01-04,1.0,143.51,361.0,One-off Lapsed
C01180,,,,,Prospect (no purchase)
C01181,,,,,Prospect (no purchase)
C01182,,,,,Prospect (no purchase)
C01183,,,,,Prospect (no purchase)
C01184,2024-09-26,1.0,157.01,461.0,One-off Lapsed
C01185,,,,,Prospect (no purchase)
C01186,,,,,Prospect (no purchase)
C01187,,,,,Prospect (no purchase)
C01188,,,,,Prospect (no purchase)
C01189,,,,,Prospect (no purchase)
C01190,2025-01-10,1.0,175.55,355.0,One-off Lapsed
C01191,,,,,Prospect (no purchase)
C01192,,,,,Prospect (no purchase)
C01193,,,,,Prospect (no purchase)
C01194,2025-11-25,1.0,300.11,36.0,One-off Lapsed
C01195,,,,,Prospect (no purchase)
C01196,,,,,Prospect (no purchase)
C01197,,,,,Prospect (no purchase)
C01198,,,,,Prospect (no purchase)
C01199,,,,,Prospect (no purchase)
C01200,,,,,Prospect (no purchase)
C01201,2025-08-21,1.0,139.84,132.0,One-off Lapsed
C01202,2025-08-25,5.0,1102.66,128.0,Champions
C01203,2025-12-31,1.0,196.08,0.0,Recent Buyers
C01204,,,,,Prospect (no purchase)
C01205,,,,,Prospect (no purchase)
C01206,2025-12-06,2.0,580.64,25.0,Occasional Repeat
C01207,,,,,Prospect (no purchase)
C01208,,,,,Prospect (no purchase)
C01209,,,,,Prospect (no purchase)
C01210,2024-09-22,3.0,796.01,465.0,Champions
C01211,,,,,Prospect (no purchase)
C01212,2025-11-19,2.0,824.1,42.0,Occasional Repeat
C01213,2024-05-09,1.0,205.03,601.0,One-off Lapsed
C01214,,,,,Prospect (no purchase)
C01215,2024-12-07,1.0,602.59,389.0,Occasional Repeat
C01216,2024-12-04,1.0,209.72,392.0,One-off Lapsed
C01217,,,,,Prospect (no purchase)
C01218,,,,,Prospect (no purchase)
C01219,,,,,Prospect (no purchase)
C01220,,,,,Prospect (no purchase)
C01221,,,,,Prospect (no purchase)
C01222,2024-11-16,1.0,93.72,410.0,One-off Lapsed
C01223,,,,,Prospect (no purchase)
C01224,,,,,Prospect (no purchase)
C01225,,,,,Prospect (no purchase)
C01226,2025-05-12,1.0,312.63,233.0,One-off Lapsed
C01227,2025-04-28,3.0,1132.18,247.0,Champions
C01228,,,,,Prospect (no purchase)
C01229,,,,,Prospect (no purchase)
C01230,,,,,Prospect (no purchase)
C01231,,,,,Prospect (no purchase)
C01232,,,,,Prospect (no purchase)
C01233,2024-05-23,1.0,352.92,587.0,One-off Lapsed
C01234,2025-04-28,1.0,241.02,247.0,One-off Lapsed
C01235,,,,,Prospect (no purchase)
C01236,,,,,Prospect (no purchase)
C01237,,,,,Prospect (no purchase)
C01238,2024-07-29,3.0,933.48,520.0,Champions
C01239,2025-02-11,1.0,181.7,323.0,One-off Lapsed
C01240,2024-09-27,3.0,362.05,460.0,Occasional Repeat
C01241,,,,,Prospect (no purchase)
C01242,,,,,Prospect (no purchase)
C01243,2025-12-31,2.0,558.88,0.0,Recent Buyers
C01244,2025-12-31,1.0,168.34,0.0,Recent Buyers
C01245,,,,,Prospect (no purchase)
C01246,2025-05-14,2.0,751.0,231.0,Occasional Repeat
C01247,2024-12-02,2.0,854.43,394.0,Occasional Repeat
